Answer (English),color_sum,threat_sum,fading_sum,form_sum,kinesthetics_sum
" It reminds me of a moth with mandibles. It looks like a mixture of lots of insects. There are mandibles, 3 wings, a stinger and frog eyes.",1,0,0,0,0
"One person on each side (obviously, it’s symmetrical). He is bent with his head, his feet, his arms",0,0,0,0,1
A saucepan on a…camping gas stove. The gas stove and a large saucepan,0,0,1,0,0
Ah two rabbits hitting each other's hands with their ears and paws uh...,0,0,0,0,1
"And... A person with big lips, his eyes, his eyebrows. They are not…",0,0,1,0,0
"And also like a kind of face with the nose, the eyes here (point) and no mouth",0,0,0,1,0
Oh and this: it would remind me of a butterfly,0,0,0,1,0
"An enlarged bull's head, with nostrils, eyes, horns here",0,0,0,1,0
"I also see a woman dancing, her left or right leg actually and here the other leg, bent and her arms are put above her head like that.",0,0,0,0,1
A fish here,0,0,0,1,0
Here a seahorse,0,0,0,1,0
"Like a bird, it could be a crow, here with its base",1,0,0,0,1
"I see animals everywhere!
I see animal heads with beaks
",0,0,0,1,0
A dog with its tongue,0,0,0,1,0
Here I see a shrimp,0,0,0,1,0
Here I see shoes in the white,0,0,0,1,0
"In the dark, like a road that goes far away with a sunset behind",0,0,1,0,0
A tall bat with its legs,1,0,0,0,0
"In the white, someone sitting, slumped, holding a phone or remote control",0,0,0,0,1
A clamp here,0,0,0,1,0
A bell in the white,0,0,0,1,0
"A moon, a half moon",0,0,1,0,0
I see nostrils,0,0,0,1,0
"And here a child sitting uh a child sitting. This one I had a hard time finding stuff in.
",0,0,0,0,1
"Thank you, I see a dog or a cat in the white",0,0,0,1,0
An angry creature with a twisted horn,0,1,0,0,0
"I see stairs. Once we see something, we can no longer see it *Stop after a long silence*
",0,0,0,1,0
"There, a panther with a staggered paw",1,0,0,0,1
Hands *takes distance from the board and comes back*,0,0,0,1,0
Chicken thighs,1,0,0,0,0
I see a ball of ice cream,1,0,0,0,0
Claws too,0,0,0,1,0
"Something else I see, I don't remember, something in the sea. It's not coral, I don't know what it is",1,0,0,0,0
A creature,0,0,0,1,0
A pliers,0,0,0,1,0
A creature in yellow,0,0,0,1,0
I see two men uh supporting each other on a cliff,0,0,0,0,1
And I see a fish,0,0,0,1,0
"Ok, angel wings with hands and the “ahhh” side.",0,0,0,1,0
And there more like a wolf with eyes and fur around it.,1,0,1,0,0
"Come on, it can actually be funny, a hat that goes up the sides, a little Russian, that's it",0,0,0,1,0
"It's weird, if we can end on that, the angel there, the fact that there is a double hump here (watch), it made me a little strange because it makes the side with the hands like that (imitates the angel), it's a kind of angel with two heads you see, we can see clearly, just two heads is weird.",0,0,0,0,1
"There is something that bothers me, it's not symmetrical, there are spots on the (watch) that you don't see there, it bothers me, it's not symmetrical",1,0,0,0,0
